Date,Symbol,Type,Entry Price,Exit Price,Entry Time,Exit Time,Exit Reason,PnL,Trade Count
2024-01-01,AARTIIND,BUY,655.05,653.0,2024-01-01 09:45:00,2024-01-01 09:55:00,Stop Loss,-2.05,18
2024-01-02,AARTIIND,BUY,658.1,655.55,2024-01-02 09:30:00,2024-01-02 09:50:00,Stop Loss,-2.55,16
2024-01-02,AARTIIND,SELL,651.7,646.8,2024-01-02 09:55:00,2024-01-02 10:25:00,Target Hit,4.9,23
2024-01-03,AARTIIND,SELL,647.9,649.75,2024-01-03 09:35:00,2024-01-03 09:50:00,Stop Loss,-1.85,12
2024-01-04,AARTIIND,SELL,649.85,652.3,2024-01-04 09:25:00,2024-01-04 09:40:00,Stop Loss,-2.45,7
2024-01-05,AARTIIND,SELL,644.95,646.85,2024-01-05 09:25:00,2024-01-05 09:40:00,Stop Loss,-1.9,7
2024-01-08,AARTIIND,SELL,611.8,608.5,2024-01-08 09:25:00,2024-01-08 09:30:00,Target Hit,3.3,6
2024-01-09,AARTIIND,SELL,599.9,601.75,2024-01-09 09:40:00,2024-01-09 09:45:00,Stop Loss,-1.85,18
2024-01-10,AARTIIND,SELL,601.6,603.5,2024-01-10 09:20:00,2024-01-10 09:30:00,Stop Loss,-1.9,1
2024-01-11,AARTIIND,BUY,612.25,615.8,2024-01-11 09:40:00,2024-01-11 10:10:00,Target Hit,3.55,15
2024-01-12,AARTIIND,BUY,625.25,629.5,2024-01-12 09:20:00,2024-01-12 09:45:00,Target Hit,4.25,1
2024-01-15,AARTIIND,SELL,607.85,611.2,2024-01-15 09:55:00,2024-01-15 10:30:00,Stop Loss,-3.35,26
2024-01-16,AARTIIND,SELL,608.05,604.55,2024-01-16 10:50:00,2024-01-16 11:45:00,Target Hit,3.5,26
2024-01-17,AARTIIND,SELL,585.25,582.0,2024-01-17 14:30:00,2024-01-17 14:45:00,Target Hit,3.25,27
2024-01-19,AARTIIND,BUY,625.55,633.9,2024-01-19 09:30:00,2024-01-19 09:35:00,Target Hit,8.35,10
2024-01-20,AARTIIND,SELL,661.55,664.05,2024-01-20 09:50:00,2024-01-20 09:55:00,Stop Loss,-2.5,22
2024-01-23,AARTIIND,SELL,665.45,671.65,2024-01-23 09:20:00,2024-01-23 09:25:00,Stop Loss,-6.2,1
2024-01-24,AARTIIND,BUY,649.0,646.75,2024-01-24 10:40:00,2024-01-24 10:55:00,Stop Loss,-2.25,24
2024-01-24,AARTIIND,SELL,635.25,638.0,2024-01-24 12:35:00,2024-01-24 12:50:00,Stop Loss,-2.75,31
2024-01-25,AARTIIND,SELL,638.8,641.4,2024-01-25 10:15:00,2024-01-25 10:30:00,Stop Loss,-2.6,19
2024-01-29,AARTIIND,SELL,635.35,638.75,2024-01-29 09:40:00,2024-01-29 09:55:00,Stop Loss,-3.4,17
2024-01-29,AARTIIND,BUY,643.55,641.6,2024-01-29 11:35:00,2024-01-29 11:55:00,Stop Loss,-1.95,29
2024-01-30,AARTIIND,SELL,638.85,634.0,2024-01-30 10:45:00,2024-01-30 11:20:00,Target Hit,4.85,22
2024-01-31,AARTIIND,BUY,636.05,639.25,2024-01-31 09:20:00,2024-01-31 09:55:00,Target Hit,3.2,1
2024-02-01,AARTIIND,SELL,650.85,647.4,2024-02-01 10:00:00,2024-02-01 10:40:00,Target Hit,3.45,23
2024-02-02,AARTIIND,SELL,646.25,648.0,2024-02-02 09:20:00,2024-02-02 09:45:00,Stop Loss,-1.75,1
2024-02-05,AARTIIND,BUY,649.55,647.5,2024-02-05 12:50:00,2024-02-05 14:30:00,Stop Loss,-2.05,29
2024-02-06,AARTIIND,BUY,653.85,657.5,2024-02-06 09:20:00,2024-02-06 09:40:00,Target Hit,3.65,1
2024-02-07,AARTIIND,SELL,659.55,662.0,2024-02-07 09:35:00,2024-02-07 10:05:00,Stop Loss,-2.45,21
2024-02-07,AARTIIND,BUY,670.95,669.0,2024-02-07 13:50:00,2024-02-07 13:55:00,Stop Loss,-1.95,36
2024-02-08,AARTIIND,SELL,666.7,661.95,2024-02-08 09:40:00,2024-02-08 09:55:00,Target Hit,4.75,20
2024-02-09,AARTIIND,BUY,644.8,642.65,2024-02-09 09:40:00,2024-02-09 09:50:00,Stop Loss,-2.15,17
2024-02-12,AARTIIND,BUY,691.05,699.15,2024-02-12 09:20:00,2024-02-12 09:30:00,Target Hit,8.1,1
2024-02-13,AARTIIND,SELL,653.25,655.55,2024-02-13 09:25:00,2024-02-13 09:30:00,Stop Loss,-2.3,11
2024-02-14,AARTIIND,BUY,661.15,657.8,2024-02-14 09:20:00,2024-02-14 09:30:00,Stop Loss,-3.35,1
2024-02-15,AARTIIND,BUY,685.4,679.05,2024-02-15 09:30:00,2024-02-15 09:35:00,Stop Loss,-6.35,10
